,Time,LastPrice,Volume,Bid1Price,Bid1Volume,Ask1Price,Ask1Volume,Spread,Depth Ratio,OBl,PredAvgPrice,TradedLSTM,TradedML
300,5/16/2023 9:32,6076.8,230,6076,1,6077.2,1,1.2,1,0,6076.569,1,1
301,5/16/2023 9:32,6076.8,230,6076.2,3,6077.2,1,1,3,0.5,6076.5986,1,1
302,5/16/2023 9:32,6077.2,231,6077.4,3,6077.8,1,0.4,3,0.5,6076.6235,1,0
303,5/16/2023 9:32,6077.2,231,6076.8,1,6077.8,1,1,1,0,6076.672,1,0
304,5/16/2023 9:32,6077.2,231,6076.8,1,6077.8,1,1,1,0,6076.7197,1,0
305,5/16/2023 9:32,6077.2,231,6076.8,1,6077.6,1,0.8,1,0,6076.769,1,0
306,5/16/2023 9:32,6077.2,231,6076.4,2,6077.6,1,1.2,2,0.333333333,6076.8164,1,0
307,5/16/2023 9:32,6077.2,231,6075.8,2,6077.6,1,1.8,2,0.333333333,6076.8613,1,0
308,5/16/2023 9:32,6077.2,231,6076,1,6077.4,1,1.4,1,0,6076.9033,1,0
309,5/16/2023 9:32,6077.2,231,6075.8,2,6077.2,1,1.4,2,0.333333333,6076.9414,1,0
310,5/16/2023 9:32,6077.2,231,6075.8,2,6077.2,1,1.4,2,0.333333333,6076.9756,1,0
311,5/16/2023 9:32,6077.2,231,6075,4,6077.2,1,2.2,4,0.6,6077.0063,1,0
312,5/16/2023 9:32,6077.2,231,6075.2,1,6077,1,1.8,1,0,6077.0327,1,0
313,5/16/2023 9:32,6075.2,232,6075,5,6076.6,1,1.6,5,0.666666667,6077.0557,0,0
314,5/16/2023 9:32,6075,234,6075,3,6076.4,2,1.4,1.5,0.2,6076.9473,0,1
315,5/16/2023 9:32,6075,234,6075,3,6076.2,3,1.2,1,0,6076.802,0,1
316,5/16/2023 9:32,6075,234,6075,2,6076.2,2,1.2,1,0,6076.635,0,1
317,5/16/2023 9:32,6075,234,6075,2,6076.2,1,1.2,2,0.333333333,6076.457,0,1
318,5/16/2023 9:32,6075,234,6075.4,1,6076.4,1,1,1,0,6076.2764,0,1
319,5/16/2023 9:32,6075,234,6075.2,1,6077,1,1.8,1,0,6076.0986,0,1
320,5/16/2023 9:32,6075,234,6075.8,1,6076.8,1,1,1,0,6075.9277,0,1
321,5/16/2023 9:32,6075,234,6076,2,6077,1,1,2,0.333333333,6075.767,0,1
322,5/16/2023 9:32,6075,234,6076.8,1,6077,1,0.2,1,0,6075.6187,0,1
323,5/16/2023 9:32,6075.8,236,6075.4,1,6077,1,1.6,1,0,6075.4834,0,1
324,5/16/2023 9:32,6075.8,236,6075.6,3,6076.8,1,1.2,3,0.5,6075.4136,0,1
325,5/16/2023 9:32,6075.8,236,6075.8,1,6076.8,1,1,1,0,6075.366,0,1
326,5/16/2023 9:32,6075.8,236,6075.6,2,6077,1,1.4,2,0.333333333,6075.3384,0,1
327,5/16/2023 9:32,6075.8,236,6075.8,1,6077,1,1.2,1,0,6075.326,1,1
328,5/16/2023 9:32,6077,237,6075.6,1,6077.6,1,2,1,0,6075.3267,1,1
329,5/16/2023 9:32,6077,237,6076,1,6077.2,1,1.2,1,0,6075.4126,1,1
330,5/16/2023 9:32,6077,237,6075.8,4,6077.2,1,1.4,4,0.6,6075.5186,1,1
331,5/16/2023 9:32,6077,237,6076,2,6077.6,1,1.6,2,0.333333333,6075.6387,1,1
332,5/16/2023 9:32,6077,237,6076,1,6077,1,1,1,0,6075.766,1,1
333,5/16/2023 9:32,6077,238,6076.2,2,6077.6,1,1.4,2,0.333333333,6075.896,1,1
334,5/16/2023 9:32,6077,238,6075.8,3,6077.4,1,1.6,3,0.5,6076.023,1,1
335,5/16/2023 9:32,6077,238,6076,2,6077.4,1,1.4,2,0.333333333,6076.145,1,1
336,5/16/2023 9:32,6077.4,239,6076,2,6077.8,1,1.8,2,0.333333333,6076.2603,1,1
337,5/16/2023 9:32,6077.4,239,6076.4,1,6077.8,1,1.4,1,0,6076.392,1,1
338,5/16/2023 9:32,6077.8,240,6077.8,5,6078.4,1,0.6,5,0.666666667,6076.5186,1,1
339,5/16/2023 9:32,6077.8,240,6078,1,6078.6,2,0.6,0.5,-0.333333333,6076.6646,1,1
340,5/16/2023 9:32,6078,243,6077.8,5,6079.4,1,1.6,5,0.666666667,6076.806,1,1
341,5/16/2023 9:33,6078,243,6078.2,3,6079.2,1,1,3,0.5,6076.953,1,1
342,5/16/2023 9:33,6078.4,245,6078.4,1,6080.6,1,2.2,1,0,6077.0947,1,0
343,5/16/2023 9:33,6078.4,245,6077.8,5,6080,5,2.2,1,0,6077.2524,1,0
344,5/16/2023 9:33,6077.8,246,6077.8,4,6079.6,1,1.8,4,0.6,6077.4043,1,1
345,5/16/2023 9:33,6078.2,247,6077.8,4,6079,1,1.2,4,0.6,6077.5093,1,0
346,5/16/2023 9:33,6077.8,251,6077,1,6078.6,1,1.6,1,0,6077.623,1,1
347,5/16/2023 9:33,6078.4,252,6077.2,1,6079,2,1.8,0.5,-0.333333333,6077.6987,1,1
348,5/16/2023 9:33,6078.4,252,6077.6,1,6078.8,1,1.2,1,0,6077.798,1,1
349,5/16/2023 9:33,6078.8,253,6078,2,6079.4,1,1.4,2,0.333333333,6077.888,1,1
350,5/16/2023 9:33,6079.4,254,6078.4,2,6080.4,2,2,1,0,6077.997,1,1
351,5/16/2023 9:33,6079.4,254,6079.4,1,6080.2,1,0.8,1,0,6078.14,1,1
352,5/16/2023 9:33,6079.4,255,6078.8,1,6081.4,1,2.6,1,0,6078.284,1,1
353,5/16/2023 9:33,6079.4,255,6079,3,6080.8,1,1.8,3,0.5,6078.4263,1,1
354,5/16/2023 9:33,6080.6,256,6079.4,1,6080.8,1,1.4,1,0,6078.5615,1,0
355,5/16/2023 9:33,6079.6,257,6079.6,1,6080.6,2,1,0.5,-0.333333333,6078.765,1,1
356,5/16/2023 9:33,6080.6,259,6079.8,1,6081.2,1,1.4,1,0,6078.907,1,0
357,5/16/2023 9:33,6081.2,260,6080.2,1,6081,1,0.8,1,0,6079.1016,1,0
358,5/16/2023 9:33,6081,261,6080.6,1,6082,1,1.4,1,0,6079.329,1,0
359,5/16/2023 9:33,6081,261,6080.6,1,6081.8,2,1.2,0.5,-0.333333333,6079.542,1,0
360,5/16/2023 9:33,6081,261,6080.6,1,6081.8,2,1.2,0.5,-0.333333333,6079.7485,1,0
361,5/16/2023 9:33,6081,261,6080.4,1,6081.8,2,1.4,0.5,-0.333333333,6079.941,1,0
362,5/16/2023 9:33,6081,261,6080.4,1,6081.8,2,1.4,0.5,-0.333333333,6080.119,1,0
363,5/16/2023 9:33,6081,261,6080.4,1,6081.6,1,1.2,1,0,6080.281,1,0
364,5/16/2023 9:33,6081,261,6080.4,1,6081.4,1,1,1,0,6080.425,1,0
365,5/16/2023 9:33,6080.4,262,6080.2,1,6081.8,2,1.6,0.5,-0.333333333,6080.5513,1,0
366,5/16/2023 9:33,6080.4,262,6080.2,1,6081.4,2,1.2,0.5,-0.333333333,6080.623,1,0
367,5/16/2023 9:33,6080.4,262,6080.2,1,6081.2,1,1,1,0,6080.672,1,0
368,5/16/2023 9:33,6080.2,263,6079.2,2,6081.2,1,2,2,0.333333333,6080.701,1,0
369,5/16/2023 9:33,6080.2,263,6079.4,1,6081.2,1,1.8,1,0,6080.7017,0,0
370,5/16/2023 9:33,6079.4,264,6079,2,6080.6,1,1.6,2,0.333333333,6080.6885,0,0
371,5/16/2023 9:33,6079,265,6078.8,1,6080.2,1,1.4,1,0,6080.613,0,1
372,5/16/2023 9:33,6080,267,6078,1,6080.2,2,2.2,0.5,-0.333333333,6080.4946,0,0
373,5/16/2023 9:33,6080,267,6078,1,6079.6,1,1.6,1,0,6080.4243,0,0
374,5/16/2023 9:33,6078,269,6078.2,1,6079.6,1,1.4,1,0,6080.3564,0,1
375,5/16/2023 9:33,6078,269,6078.2,1,6079.2,1,1,1,0,6080.165,0,1
376,5/16/2023 9:33,6078,269,6078.2,1,6079.6,1,1.4,1,0,6079.9585,0,1
377,5/16/2023 9:33,6078,269,6079.6,1,6080,1,0.4,1,0,6079.741,0,1
378,5/16/2023 9:33,6079.6,270,6078.2,1,6079.8,4,1.6,0.25,-0.6,6079.5225,0,1
379,5/16/2023 9:33,6079.6,270,6078.2,1,6079.8,3,1.6,0.333333333,-0.5,6079.411,0,1
380,5/16/2023 9:33,6079.6,270,6078.4,1,6080,1,1.6,1,0,6079.327,0,1
381,5/16/2023 9:33,6079.6,270,6079.8,1,6081,1,1.2,1,0,6079.2686,0,1
382,5/16/2023 9:33,6079.6,270,6079.8,1,6080.8,3,1,0.333333333,-0.5,6079.231,0,1
383,5/16/2023 9:33,6079.6,270,6079.8,1,6080.8,3,1,0.333333333,-0.5,6079.209,0,1
384,5/16/2023 9:33,6081.2,271,6080,1,6082,1,2,1,0,6079.2007,1,1
385,5/16/2023 9:33,6081.2,271,6080.2,1,6081.8,3,1.6,0.333333333,-0.5,6079.3047,1,1
386,5/16/2023 9:33,6081.2,271,6079.8,1,6081.6,1,1.8,1,0,6079.4336,1,1
387,5/16/2023 9:33,6081.2,271,6080,1,6081.6,1,1.6,1,0,6079.5806,1,1
388,5/16/2023 9:33,6081.2,271,6079.8,1,6081.6,1,1.8,1,0,6079.7373,1,0
389,5/16/2023 9:33,6081.6,272,6080,1,6081.8,3,1.8,0.333333333,-0.5,6079.896,1,0
390,5/16/2023 9:33,6081.6,272,6080.2,1,6081.8,3,1.6,0.333333333,-0.5,6080.0776,1,0
391,5/16/2023 9:33,6081.6,272,6078.8,1,6081.4,1,2.6,1,0,6080.2583,1,0
392,5/16/2023 9:33,6081.6,273,6079.8,1,6081.2,1,1.4,1,0,6080.4326,1,0
393,5/16/2023 9:33,6081.6,273,6080,1,6081.2,1,1.2,1,0,6080.5986,1,0
394,5/16/2023 9:33,6081.6,273,6079.6,1,6081.6,1,2,1,0,6080.7515,1,0
395,5/16/2023 9:33,6079.8,275,6079.8,1,6081.6,1,1.8,1,0,6080.892,1,1
396,5/16/2023 9:33,6081.6,276,6080,2,6081.8,2,1.8,1,0,6080.905,1,0
397,5/16/2023 9:33,6081.6,276,6080.2,2,6081.8,2,1.6,1,0,6080.9976,1,0
398,5/16/2023 9:33,6081.6,276,6080.4,1,6081.8,3,1.4,0.333333333,-0.5,6081.083,1,0
