Time,LastPrice,Volume,Bid1Price,Bid1Volume,Ask1Price,Ask1Volume,FutureAvgPrice,Traded
2023-05-15 11:29:59,5980.8,4059,5980.4,1,5981.0,1,5982.04,1
2023-05-15 13:00:00,5980.4,4060,5980.2,1,5980.8,1,5982.280000000001,1
2023-05-15 13:00:00,5980.8,4062,5979.8,1,5980.8,1,5982.58,1
2023-05-15 13:00:01,5980.8,4064,5981.0,2,5982.6,1,5982.88,1
2023-05-15 13:00:01,5982.6,4065,5981.4,1,5982.6,1,5983.0,1
2023-05-15 13:00:02,5982.6,4066,5981.8,2,5982.6,1,5983.120000000001,1
2023-05-15 13:00:02,5982.6,4067,5982.2,1,5988.0,1,5983.22,1
2023-05-15 13:00:03,5982.6,4067,5982.4,1,5984.0,1,5983.32,1
2023-05-15 13:00:03,5982.4,4068,5982.8,1,5983.0,1,5983.52,1
2023-05-15 13:00:04,5982.8,4069,5981.6,1,5982.8,1,5983.68,1
2023-05-15 13:00:04,5982.8,4069,5982.6,1,5983.8,2,5983.78,1
2023-05-15 13:00:05,5982.8,4069,5982.6,1,5983.6,2,5983.88,1
2023-05-15 13:00:05,5983.8,4072,5983.8,2,5984.6,1,5983.88,1
2023-05-15 13:00:06,5983.8,4074,5982.6,1,5984.2,1,5983.76,0
2023-05-15 13:00:06,5983.8,4074,5983.6,1,5984.0,1,5983.64,0
2023-05-15 13:00:07,5983.8,4074,5983.6,1,5984.4,1,5983.4400000000005,0
2023-05-15 13:00:07,5983.6,4075,5982.6,1,5984.6,1,5983.26,0
2023-05-15 13:00:08,5983.6,4075,5983.0,1,5984.4,1,5983.08,0
2023-05-15 13:00:08,5984.4,4077,5982.6,1,5984.6,3,5982.820000000001,0
2023-05-15 13:00:09,5984.4,4077,5983.0,1,5983.8,1,5982.56,0
2023-05-15 13:00:09,5983.8,4078,5983.8,3,5984.6,3,5982.540000000001,0
2023-05-15 13:00:10,5983.8,4081,5983.8,4,5984.2,2,5982.52,0
2023-05-15 13:00:10,5983.8,4085,5982.6,1,5983.6,1,5982.5,0
2023-05-15 13:00:11,5982.6,4086,5981.6,1,5983.6,1,5982.54,0
2023-05-15 13:00:11,5982.6,4086,5981.8,2,5983.4,3,5982.58,0
2023-05-15 13:00:12,5981.8,4087,5981.8,1,5984.2,2,5982.7,1
2023-05-15 13:00:12,5981.8,4087,5981.8,1,5983.8,1,5982.780000000001,1
2023-05-15 13:00:13,5981.8,4087,5982.0,2,5983.6,2,5982.860000000001,1
