Time,LastPrice,Volume,Bid1Price,Bid1Volume,Ask1Price,Ask1Volume
2023-05-18 10:05:10,6088.6,1379,6087.6,1,6089.4,1
2023-05-18 10:05:11,6088.6,1379,6087.6,1,6089.2,2
2023-05-18 10:05:11,6088.6,1379,6087.6,1,6089.0,1
2023-05-18 10:05:12,6088.6,1379,6087.0,1,6088.6,1
2023-05-18 10:05:12,6088.6,1379,6086.4,1,6088.4,1
2023-05-18 10:05:13,6088.6,1379,6086.6,2,6088.4,3
2023-05-18 10:05:13,6088.6,1379,6086.8,1,6088.2,1
2023-05-18 10:05:15,6088.6,1379,6087.0,1,6088.4,3
2023-05-18 10:05:15,6088.6,1379,6087.0,1,6088.4,2
2023-05-18 10:05:16,6087.0,1381,6086.8,1,6088.4,1
2023-05-18 10:05:16,6087.0,1381,6087.4,1,6088.4,1
2023-05-18 10:05:17,6088.4,1382,6087.4,1,6089.2,1
2023-05-18 10:05:17,6088.4,1382,6087.6,1,6089.2,3
2023-05-18 10:05:18,6088.4,1382,6087.4,1,6089.0,1
2023-05-18 10:05:18,6088.4,1382,6087.4,1,6089.0,1
2023-05-18 10:05:19,6088.4,1382,6087.6,1,6089.2,2
2023-05-18 10:05:20,6088.4,1382,6087.8,1,6089.2,2
2023-05-18 10:05:20,6089.2,1383,6088.2,2,6089.6,1
2023-05-18 10:05:21,6089.2,1383,6088.6,1,6089.6,1
2023-05-18 10:05:21,6089.6,1384,6088.8,1,6090.8,1
2023-05-18 10:05:22,6089.6,1384,6089.0,1,6090.6,3
2023-05-18 10:05:22,6089.6,1384,6089.0,1,6090.6,3
2023-05-18 10:05:23,6089.6,1384,6089.4,1,6090.8,3
2023-05-18 10:05:24,6089.6,1384,6089.4,1,6090.8,3
2023-05-18 10:05:24,6089.6,1384,6089.0,1,6090.8,3
2023-05-18 10:05:25,6089.6,1384,6089.6,1,6090.6,3
2023-05-18 10:05:25,6089.6,1384,6089.2,1,6089.6,1
2023-05-18 10:05:26,6089.2,1385,6088.4,1,6089.4,1
2023-05-18 10:05:26,6089.2,1385,6087.6,1,6089.4,1
2023-05-18 10:05:27,6089.2,1385,6088.0,1,6089.4,1
2023-05-18 10:05:27,6089.2,1385,6088.2,1,6090.4,2
2023-05-18 10:05:28,6089.2,1385,6088.6,1,6090.2,1
2023-05-18 10:05:28,6089.2,1385,6089.0,1,6090.6,4
2023-05-18 10:05:29,6089.2,1385,6089.2,1,6090.4,1
2023-05-18 10:05:29,6089.2,1385,6088.8,1,6090.6,2
2023-05-18 10:05:30,6089.2,1385,6089.0,1,6090.4,1
2023-05-18 10:05:30,6089.2,1385,6089.0,1,6090.6,2
2023-05-18 10:05:32,6089.2,1385,6090.0,1,6090.6,2
2023-05-18 10:05:33,6089.2,1385,6089.0,1,6090.6,2
2023-05-18 10:05:33,6089.2,1385,6088.0,2,6090.4,1
2023-05-18 10:05:34,6089.2,1385,6088.6,3,6090.4,1
2023-05-18 10:05:34,6089.2,1385,6088.8,1,6090.6,1
2023-05-18 10:05:35,6089.2,1385,6088.8,1,6090.4,1
2023-05-18 10:05:36,6089.2,1385,6088.8,1,6090.6,1
2023-05-18 10:05:37,6089.2,1385,6089.0,1,6090.6,1
2023-05-18 10:05:37,6089.2,1385,6089.0,1,6090.6,1
2023-05-18 10:05:38,6089.2,1385,6089.0,1,6090.4,1
2023-05-18 10:05:39,6089.2,1385,6089.0,1,6090.6,2
2023-05-18 10:05:40,6089.2,1385,6089.0,1,6090.4,1
2023-05-18 10:05:41,6089.2,1385,6089.0,1,6090.4,1
2023-05-18 10:05:42,6090.4,1386,6089.2,1,6090.6,1
2023-05-18 10:05:42,6090.4,1386,6089.4,1,6090.4,1
2023-05-18 10:05:43,6090.4,1386,6089.2,1,6090.4,1
2023-05-18 10:05:43,6090.4,1386,6089.0,1,6090.4,1
2023-05-18 10:05:45,6090.4,1386,6089.2,2,6090.4,1
2023-05-18 10:05:45,6090.4,1386,6088.8,1,6090.4,1
2023-05-18 10:05:46,6090.4,1386,6089.0,1,6090.4,1
2023-05-18 10:05:47,6090.4,1386,6089.0,1,6090.0,1
2023-05-18 10:05:47,6090.4,1386,6089.0,1,6090.0,1
2023-05-18 10:05:48,6090.4,1386,6089.0,1,6090.0,1
2023-05-18 10:05:48,6090.0,1387,6089.6,1,6090.4,1
2023-05-18 10:05:49,6090.0,1387,6089.2,1,6090.4,1
2023-05-18 10:05:49,6090.0,1387,6089.2,1,6090.4,1
2023-05-18 10:05:50,6090.0,1387,6089.4,1,6090.4,1
2023-05-18 10:05:50,6090.0,1387,6089.4,1,6090.4,1
2023-05-18 10:05:51,6090.4,1388,6089.4,1,6090.6,1
2023-05-18 10:05:51,6090.4,1388,6089.6,1,6090.6,1
2023-05-18 10:05:52,6090.4,1388,6089.8,1,6090.6,1
2023-05-18 10:05:52,6090.4,1388,6089.8,4,6090.6,1
2023-05-18 10:05:54,6090.4,1388,6089.8,3,6090.6,1
2023-05-18 10:05:54,6090.6,1389,6090.0,1,6091.4,1
2023-05-18 10:05:55,6090.6,1389,6090.0,1,6091.4,3
2023-05-18 10:05:55,6090.6,1389,6090.6,1,6091.2,1
2023-05-18 10:05:56,6090.6,1389,6090.6,1,6091.0,1
2023-05-18 10:05:57,6090.6,1390,6089.8,3,6091.0,1
2023-05-18 10:05:58,6090.6,1390,6089.8,3,6091.4,3
2023-05-18 10:05:59,6090.6,1390,6091.0,1,6091.2,1
2023-05-18 10:05:59,6091.0,1391,6089.8,3,6091.2,1
2023-05-18 10:06:00,6091.0,1391,6089.8,3,6091.2,1
2023-05-18 10:06:01,6091.0,1391,6090.0,1,6091.2,1
2023-05-18 10:06:01,6091.0,1391,6090.2,1,6091.4,1
2023-05-18 10:06:02,6091.0,1392,6090.6,1,6091.4,1
2023-05-18 10:06:02,6091.4,1393,6091.2,1,6092.4,1
2023-05-18 10:06:03,6091.4,1393,6090.8,5,6092.4,1
2023-05-18 10:06:03,6091.4,1393,6091.0,1,6092.4,1
2023-05-18 10:06:04,6091.4,1393,6091.0,1,6092.4,1
2023-05-18 10:06:04,6091.4,1393,6090.8,4,6092.2,1
2023-05-18 10:06:05,6091.4,1393,6090.8,3,6091.8,1
2023-05-18 10:06:05,6091.8,1394,6091.4,1,6092.4,1
2023-05-18 10:06:06,6092.4,1396,6091.0,1,6092.0,1
2023-05-18 10:06:06,6092.0,1397,6091.4,1,6092.8,1
2023-05-18 10:06:07,6092.0,1397,6091.4,1,6092.6,3
2023-05-18 10:06:07,6092.0,1397,6090.8,3,6092.4,2
2023-05-18 10:06:08,6092.0,1397,6091.0,2,6092.4,1
2023-05-18 10:06:08,6091.0,1398,6090.8,3,6092.0,1
2023-05-18 10:06:09,6091.0,1398,6090.8,3,6091.8,4
2023-05-18 10:06:09,6090.8,1401,6090.4,2,6091.6,1
2023-05-18 10:06:10,6090.8,1401,6089.8,1,6091.4,3
2023-05-18 10:06:10,6090.8,1401,6089.6,1,6091.2,2
2023-05-18 10:06:11,6089.6,1402,6089.2,1,6090.8,1
2023-05-18 10:06:11,6089.0,1404,6087.6,1,6090.4,1
2023-05-18 10:06:12,6089.0,1404,6088.0,1,6089.6,1
2023-05-18 10:06:12,6089.0,1404,6088.2,2,6089.4,1
2023-05-18 10:06:13,6089.0,1404,6088.4,2,6090.2,1
2023-05-18 10:06:13,6089.0,1404,6088.6,1,6090.0,2
2023-05-18 10:06:14,6089.0,1404,6088.2,1,6089.8,2
2023-05-18 10:06:14,6089.0,1404,6088.2,1,6089.6,3
2023-05-18 10:06:15,6089.0,1404,6088.2,1,6089.4,1
2023-05-18 10:06:15,6089.0,1404,6088.8,1,6089.4,1
2023-05-18 10:06:16,6089.0,1404,6087.8,1,6088.8,1
2023-05-18 10:06:16,6089.0,1404,6087.8,1,6088.8,1
2023-05-18 10:06:17,6089.0,1404,6087.6,1,6088.8,1
2023-05-18 10:06:17,6089.0,1404,6087.6,1,6088.8,1
2023-05-18 10:06:18,6089.0,1404,6087.8,1,6088.8,1
2023-05-18 10:06:18,6089.0,1404,6087.8,2,6088.8,1
2023-05-18 10:06:19,6089.0,1404,6087.8,1,6088.8,1
2023-05-18 10:06:19,6089.0,1404,6088.4,1,6088.6,1
2023-05-18 10:06:20,6088.4,1405,6087.6,1,6088.4,2
2023-05-18 10:06:20,6088.4,1405,6087.6,1,6088.4,1
2023-05-18 10:06:21,6088.4,1405,6087.8,1,6088.4,1
2023-05-18 10:06:22,6088.4,1406,6087.8,1,6088.8,1
2023-05-18 10:06:22,6088.4,1406,6088.2,1,6088.6,1
2023-05-18 10:06:23,6088.6,1407,6088.2,1,6089.6,2
2023-05-18 10:06:23,6088.6,1407,6088.2,1,6089.6,1
2023-05-18 10:06:24,6088.6,1407,6088.0,2,6089.4,2
2023-05-18 10:06:24,6088.6,1407,6088.0,1,6089.2,1
2023-05-18 10:06:25,6088.6,1407,6088.0,1,6089.0,1
2023-05-18 10:06:25,6088.6,1407,6086.4,1,6089.0,1
2023-05-18 10:06:26,6088.6,1407,6087.6,2,6088.8,1
2023-05-18 10:06:26,6088.6,1407,6087.6,2,6089.4,1
