Time,LastPrice,Volume,Bid1Price,Bid1Volume,Ask1Price,Ask1Volume,FutureAvgPrice,Traded
2023-05-12 09:30:00,6059.0,9,6054.8,1,6059.2,1,6055.18,0
2023-05-12 09:30:00,6059.0,10,6055.0,7,6057.4,1,6054.62,0
2023-05-12 09:30:01,6055.0,16,6055.2,1,6056.2,1,6054.46,0
2023-05-12 09:30:01,6055.2,17,6053.0,1,6056.0,2,6054.46,0
2023-05-12 09:30:02,6055.2,17,6053.6,1,6055.8,1,6054.46,0
2023-05-12 09:30:02,6055.2,17,6053.2,1,6055.2,2,6054.5,0
2023-05-12 09:30:03,6055.2,20,6053.0,1,6055.2,1,6054.54,0
2023-05-12 09:30:03,6055.2,20,6053.0,1,6054.0,1,6054.9,0
2023-05-12 09:30:04,6054.0,21,6054.0,1,6055.0,1,6055.36,1
2023-05-12 09:30:04,6054.0,21,6053.0,1,6053.8,1,6055.82,1
2023-05-12 09:30:05,6053.8,22,6053.2,1,6055.2,1,6056.339999999999,1
2023-05-12 09:30:05,6053.4,27,6053.4,3,6057.6,2,6056.960000000001,1
2023-05-12 09:30:06,6053.4,27,6053.8,2,6055.2,1,6057.38,1
2023-05-12 09:30:06,6055.2,28,6055.4,1,6057.4,1,6057.68,1
2023-05-12 09:30:07,6055.2,28,6055.6,2,6057.2,1,6057.92,1
2023-05-12 09:30:07,6055.6,33,6055.2,5,6055.6,1,6058.120000000001,1
2023-05-12 09:30:08,6055.6,34,6057.4,1,6058.8,1,6058.320000000001,1
2023-05-12 09:30:08,6058.8,36,6057.2,1,6058.6,1,6058.2,0
2023-05-12 09:30:09,6058.6,38,6057.2,1,6059.0,3,6058.1,0
2023-05-12 09:30:09,6058.6,38,6057.6,1,6059.0,3,6058.000000000001,0
2023-05-12 09:30:10,6059.0,41,6059.6,3,6062.2,1,6057.840000000001,0
2023-05-12 09:30:10,6059.6,44,6057.6,1,6060.6,2,6057.62,0
2023-05-12 09:30:11,6057.6,45,6055.6,5,6058.8,1,6057.6,0
2023-05-12 09:30:11,6058.2,46,6057.6,1,6058.4,2,6057.52,0
2023-05-12 09:30:12,6057.6,47,6055.8,1,6057.4,1,6057.5,0
2023-05-12 09:30:12,6057.6,48,6056.0,2,6058.0,1,6057.639999999999,1
