Time,LastPrice,Volume,Bid1Price,Bid1Volume,Ask1Price,Ask1Volume,FutureAvgPrice,Traded
2023-05-08 09:30:00,6117.0,7,6113.0,1,6116.0,1,6115.4400000000005,0
2023-05-08 09:30:00,6116.0,9,6115.6,2,6118.8,1,6115.54,0
2023-05-08 09:30:01,6114.2,13,6113.8,1,6118.2,2,6115.820000000001,1
2023-05-08 09:30:01,6114.2,15,6115.4,1,6117.6,2,6115.7,1
2023-05-08 09:30:02,6117.4,25,6116.0,1,6117.4,2,6115.26,0
2023-05-08 09:30:02,6114.0,29,6116.2,1,6117.4,1,6115.72,1
2023-05-08 09:30:03,6117.4,33,6113.8,2,6117.8,1,6115.9,0
2023-05-08 09:30:03,6117.4,33,6114.6,2,6116.0,1,6116.08,0
2023-05-08 09:30:04,6114.0,35,6113.8,2,6116.0,1,6116.4,1
2023-05-08 09:30:04,6114.0,35,6114.2,1,6115.8,2,6116.96,1
2023-05-08 09:30:05,6115.8,37,6114.4,1,6116.0,1,6117.52,1
2023-05-08 09:30:05,6117.0,39,6116.6,1,6117.4,1,6118.0,1
2023-05-08 09:30:06,6117.0,39,6118.0,1,6118.8,2,6118.58,1
2023-05-08 09:30:06,6113.0,61,6113.0,2,6119.6,2,6119.58,1
2023-05-08 09:30:07,6113.0,61,6116.0,2,6117.6,2,6120.36,1
2023-05-08 09:30:07,6118.6,62,6116.4,1,6119.4,2,6120.56,1
2023-05-08 09:30:08,6119.2,63,6116.6,4,6119.4,2,6120.68,1
2023-05-08 09:30:08,6119.2,63,6116.8,1,6119.0,1,6120.8,1
2023-05-08 09:30:09,6117.2,64,6117.2,1,6119.6,2,6121.12,1
2023-05-08 09:30:09,6119.6,66,6121.4,1,6122.8,1,6121.2,1
2023-05-08 09:30:10,6121.4,67,6118.6,1,6119.4,1,6121.1,0
2023-05-08 09:30:10,6121.8,69,6122.4,1,6122.6,2,6121.1,0
2023-05-08 09:30:11,6122.8,73,6120.0,1,6123.4,1,6121.0,0
2023-05-08 09:30:11,6123.0,74,6121.8,1,6123.2,2,6120.62,0
2023-05-08 09:30:12,6120.8,77,6120.4,4,6123.2,2,6120.4,0
2023-05-08 09:30:12,6120.6,78,6120.4,1,6123.0,4,6120.34,0
2023-05-08 09:30:13,6120.4,79,6120.2,1,6122.6,1,6120.3,0
2023-05-08 09:30:13,6120.4,79,6120.2,1,6121.8,1,6120.26,0
2023-05-08 09:30:14,6120.4,79,6120.2,1,6122.2,2,6120.18,0
2023-05-08 09:30:14,6120.4,79,6120.2,1,6122.0,3,6120.14,0
2023-05-08 09:30:15,6120.4,79,6118.6,1,6121.8,4,6120.06,0
2023-05-08 09:30:15,6121.8,82,6119.0,2,6121.6,1,6119.9800000000005,0
2023-05-08 09:30:16,6121.8,82,6119.2,2,6121.4,3,6119.9,0
2023-05-08 09:30:16,6119.2,84,6118.6,4,6121.2,4,6119.860000000001,1
2023-05-08 09:30:17,6118.6,88,6117.8,1,6121.0,3,6119.88,1
2023-05-08 09:30:17,6120.0,89,6117.8,1,6120.0,2,6119.719999999999,0
2023-05-08 09:30:18,6120.0,89,6118.0,1,6119.4,1,6119.66,0
2023-05-08 09:30:18,6120.0,89,6116.0,1,6119.2,1,6119.6,0
2023-05-08 09:30:19,6119.6,91,6117.6,1,6118.8,1,6119.58,0
2023-05-08 09:30:19,6120.0,93,6119.6,2,6120.4,2,6119.52,0
2023-05-08 09:30:20,6119.6,95,6117.8,1,6119.6,1,6119.32,0
2023-05-08 09:30:20,6121.0,96,6118.2,1,6121.0,1,6118.9800000000005,0
2023-05-08 09:30:21,6121.0,96,6118.8,1,6120.8,2,6118.82,0
2023-05-08 09:30:21,6118.8,97,6118.4,3,6118.8,1,6118.9,1
2023-05-08 09:30:22,6118.8,98,6118.4,1,6119.6,2,6119.08,1
2023-05-08 09:30:22,6118.4,99,6117.6,1,6119.6,2,6119.320000000001,1
2023-05-08 09:30:23,6119.4,102,6117.6,1,6119.4,3,6119.46,1
2023-05-08 09:30:23,6119.4,102,6117.6,1,6119.4,3,6119.6,1
2023-05-08 09:30:24,6119.4,102,6116.2,2,6119.4,3,6119.740000000001,1
2023-05-08 09:30:24,6119.4,103,6116.8,1,6119.6,2,6119.72,1
2023-05-08 09:30:25,6117.6,108,6117.6,1,6119.4,2,6119.88,1
2023-05-08 09:30:25,6117.6,108,6118.4,1,6119.2,1,6120.219999999999,1
2023-05-08 09:30:26,6119.4,109,6117.8,2,6119.4,1,6120.200000000001,1
2023-05-08 09:30:26,6119.6,111,6118.2,1,6120.8,1,6120.16,1
2023-05-08 09:30:27,6120.6,112,6118.4,2,6120.8,1,6119.9400000000005,0
2023-05-08 09:30:27,6120.8,113,6118.6,2,6121.0,1,6119.7,0
2023-05-08 09:30:28,6120.8,113,6118.8,2,6121.2,4,6119.46,0
